Name,Area (km²),Population,Population density (per km²),Capital,Name(s) in official language(s),Official Language,Short List,Part
Albania,"28,748","2,831,741",98.5,Tirana,Shqipëria,,,South
Andorra,468,"68,403",146.2,Andorra la Vella,Andorra,,,South
Armenia [j],"29,800","3,229,900",101,Yerevan,Hayastan,,,East
Czech Republic,"78,866","10,256,760",130.1,Prague,?eská republika,,X,East
Azerbaijan [k],"86,600","9,165,000",105.8,Baku,Az?rbaycan,,,East
Belarus,"207,560","9,458,000",45.6,Minsk,Belarus,,,East
Kazakhstan [i],"2,724,900","15,217,711",5.6,Astana,Kazakhstan,,,East
Bosnia and Herzegovina,"51,129","3,843,126",75.2,Sarajevo,Bosna i Hercegovina,,,South
Bulgaria,"110,910","7,621,337",68.7,Sofia,B?lgarija,,,South
Croatia,"56,542","4,437,460",77.7,Zagreb,Hrvatska,,,South
Cyprus [d],"9,251","788,457",85,Nicosia,Kýpros/K?br?s,,,East
Poland,"312,685","38,625,478",123.5,Warsaw,Polska,,X,East
Denmark,"43,094","5,564,219",129,Copenhagen,Danmark,,X,North
Estonia,"45,226","1,340,194",29,Tallinn,Eesti,,,North
Finland,"336,593","5,157,537",15.3,Helsinki,Suomi/Finland,,X,North
Iceland,"103,000","307,261",2.7,Reykjavík,Ísland,,X,North
Georgia [l],"69,700","4,661,473",64,Tbilisi,Sakartvelo,,,East
Ireland,"70,280","4,234,925",60.3,Dublin,Éire/Ireland,,X,North
Norway,"385,178","5,018,836",15.5,Oslo,Norge/Noreg,,X,North
Hungary,"93,030","10,075,034",108.3,Budapest,Magyarország,,,East
Sweden,"449,964","9,090,113",19.7,Stockholm,Sverige,,X,North
United Kingdom,"244,820","64,105,654",244.2,London,United Kingdom,,X,North
Greece,"131,957","11,123,034",80.7,Athens,Elláda,,X,South
Italy,"301,230","59,530,464",197.7,Rome,Italia,,X,South
Latvia,"64,589","2,067,900",34.2,Riga,Latvija,,,North
Liechtenstein,160,"32,842",205.3,Vaduz,Liechtenstein,,,West
Lithuania,"65,200","2,988,400",45.8,Vilnius,Lietuva,,,East
Luxembourg,"2,586","448,569",173.5,Luxembourg,Lëtzebuerg/Luxemburg/Luxembourg,,,West
Macedonia,"25,713","2,054,800",81.1,Skopje,Makedonija,,,South
Malta,316,"397,499","1,257.90",Valletta,Malta,,,South
Moldova [a],"33,843","4,434,547",131,Chi?in?u,Moldova,,,East
Portugal [e],"91,568","10,409,995",110.1,Lisbon,Portugal,,X,South
Montenegro,"13,812","616,258",44.6,Podgorica,Crna Gora,,,South
Spain,"504,851","47,059,533",93.2,Madrid,España,,X,South
Vatican City,0.44,900,"2,045.50",Vatican City,Città del Vaticano/Civitas Vaticana,,X,South
Austria,"83,858","8,169,929",97.4,Vienna,Österreich,,X,West
Belgium,"30,528","11,007,000",360.6,Brussels,België/Belgique/Belgien,,X,West
Romania,"238,391","21,698,181",91,Bucharest,România,,,East
Russia [b],"17,075,400","143,975,923",8.3,Moscow,Rossiya,,,East
San Marino,61,"27,730",454.6,San Marino,San Marino,,,South
Serbia [f],"88,361","7,120,666",91.9,Belgrade,Srbija,,,South
Slovakia,"48,845","5,422,366",111,Bratislava,Slovensko,,,East
Slovenia,"20,273","2,050,189",101,Ljubljana,Slovenija,,,South
France [g],"547,030","66,104,000",115.5,Paris,France,,X,West
Germany,"357,021","80,716,000",233.2,Berlin,Deutschland,,X,West
Monaco,1.95,"31,987","16,403.60",Monaco,Monaco,,X,West
Turkey [m],"783,562","77,695,904",101,Ankara,Türkiye,,,South
Ukraine,"603,700","48,396,470",80.2,Kiev,Ukrajina,,,East
Netherlands [h],"41,526","16,902,103",393,Amsterdam,Nederland,,X,West
Switzerland,"41,290","7,507,000",176.8,Bern,Schweiz/Suisse/Svizzera/Svizra,,X,West
